 SaurJH9_2232,PL8,, ,Staphylococcus aureus subsp. aureus JH9,ABQ50013.1,A5IUZ0,  ,invalid,1,
 LFZ53_00030,PL17,, ,Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080,ASG73710.1, ,  ,invalid,1,
 alginate lyase (AlgMsp),PL7,,4.2.2.3,Microbulbifer sp. 6532A,BAJ62034.1, ,  ,invalid,5,characterized
 AL1_01270 (fragment),PL12,, ,Alistipes shahii WAL 8301,CBK62843.1,D4IIT1,  ,invalid,2,
 SL103_28195,PL8,, ,Streptomyces lydicus 103,AOP49608.1, ,  ,invalid,,
 Enr13x_34940,PL10,, ,Planctomycetes bacterium Enr13,QDV43637.1, ,  ,invalid,3,
 BHE84_06125,PL4,, ,Xanthomonas citri pv. glycines str. 8ra,AOY64800.1, ,  ,invalid,1,
 FNV66_48180,PL1,, ,Streptomyces sp. S1D4-14,QDN72256.1, ,  ,invalid,,
 MSAR_25020,PL12,, ,Mycolicibacterium sarraceniae JCM 30395,BBY59366.1, ,  ,invalid,,
 NZ708_06745,PL3,, ,Pseudomonas syringae pv. actinidiae ICMP 18708,AOE55713.1, ,  ,invalid,1,
 BZG29_08180,PL12,, ,Janthinobacterium sp. LM6,AQR71833.1, ,  ,invalid,,
 B657_07090 (YetA),PL26,, ,Bacillus subtilis QB928,AFQ56632.1, ,  ,invalid,,
 N026_04095,PL9,, ,Pseudomonas syringae UB303,QHF06706.1, ,  ,invalid,,
 CSC17_4144,PL22,, ,Klebsiella oxytoca AR380,AWF33695.1, ,  ,invalid,1,
 ACTI_43990,PL1,, ,Actinoplanes sp. OR16,BBH67714.1, ,  ,invalid,,
 CWQ22_06060,PL8,, ,Streptococcus agalactiae SGEHI2015-107,ATZ83062.1, ,  ,invalid,1,
 EH203_01875,PL1,, ,Pectobacterium carotovorum subsp. carotovorum BP201601.1,QHP52719.1, ,  ,invalid,3,
 EGY23_29180,PL7,, ,Pseudomonas aeruginosa FDAARGOS_505,AYZ80287.1, ,  ,invalid,1,
 Oter_1359,PL26,, ,Opitutus terrae PB90-1,ACB74644.1, ,  ,invalid,,
 APS56_06085,PL40,, ,Algibacter alginicilyticus HZ22,ALJ04722.1, ,  ,invalid,,
 C5E21_22385,PL9,, ,Pectobacterium parmentieri IFB5485,AYH25414.1, ,  ,invalid,1,
 FORC9_4203,PL9,, ,Vibrio vulnificus FORC_009,ALM73720.1, ,  ,invalid,1,
 C4K30_5953,PL7,, ,Pseudomonas chlororaphis subsp. piscium ToZa7,AZC85022.1, ,  ,invalid,1,
 EG349_04620,PL11,, ,Chryseobacterium shandongense G0207,AZA86117.1, ,  ,invalid,1,
 GWR55_06475,PL38,, ,Edaphobacter sp. 12200R-103,QHS51427.1, ,  ,invalid,,
 CY656_04365,PL22,, ,Klebsiella pneumoniae 08EU827,AZZ30781.1, ,  ,invalid,1,
 A9D14_15760,PL1,, ,Croceicoccus marinus E4A9,ARU17810.1, ,  ,invalid,2,
 BARD7_03179,PL9,, ,Bacillus amyloliquefaciens RD7-7,AOC92618.1, ,  ,invalid,2,
 CU052_26175,PL29,, ,Vibrio harveyi 345,AWB02649.1, ,  ,invalid,,
 CMV30_12295 (PelA),PL10,, ,Verrucomicrobia bacterium HZ-65,ATC64673.1, ,  ,invalid,1,
 TO66_05175 (AlgL),PL5,, ,Pseudomonas sp. MRSN12121,AJO76709.1, ,  ,invalid,1,
 NCTC10047_04380 (fragment) ,PL8,, ,Salmonella enterica subsp. arizonae NCTC10047,VEA78425.1, ,  ,invalid,2,
 EW139_09500,PL1,, ,Leuconostoc kimchii NKJ218,QBR48334.1, ,  ,invalid,6,
 TBK1r_74640,PL14,, ,Planctomycetes bacterium TBK1r,QDV88431.1, ,  ,invalid,,
 AM275_15710,PL22,, ,Klebsiella pneumoniae UCLAOXA232KP_Pt0,AOM90920.1, ,  ,invalid,1,
 EHF41_00035,PL38,, ,Salmonella enterica subsp. diarizonae 16-SA00356,QAY22099.1, ,  ,invalid,,
 FNV67_17115,PL9,, ,Streptomyces sp. S1D4-20,QDN56806.1, ,  ,invalid,,
 VVM_03115,PL8,, ,Vibrio vulnificus MO6-24/O,ADV89503.1, ,  ,invalid,,
 D3880_05575,PL5,, ,Pseudomonas sp. K2W31S-8,AYC31883.1, ,  ,invalid,1,
 pectate lyase,PL1,, ,Gossypium trilobum,AEN70986.1, ,  ,invalid,1,
 pectate lyase (Pcpel10),PL1,, ,Phytophthora capsici,ACR19255.1, ,  ,invalid,4,
 CEK27_012310,PL9,, ,Fusarium fujikuroi CSV1,QGI68339.1, ,  ,invalid,3,
 SCE1572_03445,PL9,, ,Sorangium cellulosum So0157-2,AGP33633.1, ,  ,invalid,,
 AK38_825,PL2,, ,Yersinia pestis CO92,AJJ89092.1, ,  ,invalid,2,
 GA0070618_0801,PL3,, ,Micromonospora echinospora DSM 43816,SCE77123.1, ,  ,invalid,,
 Cphy_0932 (fragment),PL30,, ,Lachnoclostridium phytofermentans ISDg,ABX41316.1, ,  ,invalid,,
 NCTC12058_00881 (HylA),PL8,, ,Streptococcus pyogenes NCTC12058,SQF07335.1, ,  ,invalid,1,
 SPNA45_01710,PL12,, ,Streptococcus pneumoniae SPNA45,CCM08995.1, ,  ,invalid,1,
 JT25_023465,PL12,, ,Methylomonas denitrificans FJG1,AMK79408.1, ,  ,invalid,,
 AU380_27105,PL7,, ,Pseudomonas aeruginosa 12-4-4(59),ALU51348.1, ,  ,invalid,1,
 JMUB3934_1347,PL1,, ,Leptotrichia wadei JMUB3934,BBM50051.1, ,  ,invalid,6,
 B1H20_06765,PL31,, ,Streptomyces violaceoruber S21,ARF66043.1, ,  ,invalid,,
 FE90_0215,PL16,, ,Streptococcus pyogenes M23ND,AIQ00984.1, ,  ,invalid,,
 B5S52_20250,PL38,, ,Pectobacterium brasiliense SX309,ARA78081.1, ,  ,invalid,,
 SAMN05216509_2849,PL7,, ,Pseudomonas sp. B10,SIR53267.1, ,  ,invalid,1,
 DN94_08315,PL12,, ,Streptococcus agalactiae 138spar,AHX75639.1, ,  ,invalid,1,
 pectate lyase, partial (fragment),PL1,, ,uncultured microorganism,AFU91442.1, ,  ,invalid,,
 Sle_13560,PL1,, ,Streptomyces leeuwenhoekii C34 (= DSM 42122 = NRRL B-24963),CQR60818.1, ,  ,invalid,,
 Javan451_0008,PL16,, ,Streptococcus phage Javan451,QBX18871.1, ,  ,invalid,,
 ET464_00530,PL11,, ,Paenibacillus sp. FW100M-2,QAY65097.1, ,  ,invalid,1,
 B5D85_06210,PL16,, ,Streptococcus pyogenes STAB120304,ASQ23235.1, ,  ,invalid,,
 pectate lyase (PecB;Athe_1854;Cbes_1854;Cbes1854),PL3,,4.2.2.2,Caldicellulosiruptor bescii DSM 6725,ACM60942.1,B9MKT4,3T9G[A,B]4EW9[A,B]4YZ0[A,B]4YZA[A,B]4YZQ[A,B]4YZX[A,B]4Z03[A,B]4Z05[A,B]4Z06[A,B] ,invalid,1,
 TZ53_03685,PL1,, ,Sphingobium sp. YBL2,AJR23004.1, ,  ,invalid,2,
 pectate lyase (Pel3;Pel-3),PL3,,4.2.2.2,Pectobacterium carotovorum SUBSP. CAROTOVORA 71,AAA57140.1,Q47465,4U49[A,B]4U4B[A] ,invalid,5,characterized
 AM489_18025,PL7,, ,Pseudomonas aeruginosa AR_0110,AWS93659.1, ,  ,invalid,1,
 BV902_22580,PL6,, ,Sphingobacterium sp. B29,APU98781.1, ,  ,invalid,1,
 ORF (fragment) ,PL7,, ,uncultured bacterium,BBA30871.1, ,  ,invalid,5,
 ES967_03915,PL26,, ,Bacillus subtilis SRCM103696,QAV95277.1, ,  ,invalid,,
 RHTO0S_11e00716g,PL14,, ,Rhodotorula toruloides CECT1137,CDR45487.1, ,  ,invalid,5,
 FKW77_001480 (fragment) ,PL26,, ,Venturia effusa albino,QDS74154.1, ,  ,invalid,,
 NJ56_03375,PL8,, ,Yersinia ruckeri SC09,AUQ41059.1, ,  ,invalid,,
 BXY_04130,PL1,, ,Bacteroides xylanisolvens XB1A,CBK65670.1,D6D6M5,  ,invalid,2,
 PoMZ_06052,PL1,, ,Pyricularia oryzae,QBZ64356.1, ,  ,invalid,7,
 PANA5342_3520,PL38,, ,Pantoea ananatis LMG 5342,CCF10913.1, ,  ,invalid,,
 DDD_0347,PL7,, ,Nonlabens dokdonensis DSW-6,AGC75474.1, ,  ,invalid,,
 BcellWH2_04896,PL1,, ,Bacteroides cellulosilyticus WH2,ALJ62105.1, ,  ,invalid,2,
 EO763_10605,PL3,, ,Pectobacterium odoriferum JK2.1,QHP80340.1, ,  ,invalid,1,
 B2K_22045,PL11,, ,Paenibacillus mucilaginosus K02,AFH63341.1, ,  ,invalid,,
 HALLA_04380,PL1,, ,Halostagnicola larsenii XH-48,AHG01643.1, ,  ,invalid,,
 D0Y55_11055,PL7,, ,Pseudomonas aeruginosa WPB101,AXT00054.1, ,  ,invalid,1,
 NCTC4001_00483 (fragment) ,PL16,, ,Streptococcus pyogenes NCTC4001,SQF50049.1, ,  ,invalid,,
 BW723_03375,PL10,, ,Polaribacter reichenbachii 6Alg 8T,APZ45400.1, ,  ,invalid,1,
 SaSA97_1605,PL12,, ,Streptococcus agalactiae SA97,AUP02435.1, ,  ,invalid,1,
 FAZ90_06520,PL7,, ,Vibrio cyclitrophicus ECSMB14105,QCI70742.1, ,  ,invalid,5,
 B5S52_01910,PL1,, ,Pectobacterium brasiliense SX309,ARA74709.1, ,  ,invalid,3,
 Dfer_4959,PL33,, ,Dyadobacter fermentans DSM 18053,ACT96159.1, ,  ,invalid,1,
 BB164_10100,PL12,, ,Streptococcus agalactiae SG-M25,ASA90855.1, ,  ,invalid,1,
 HV98_10050,PL7,, ,Pseudomonas aeruginosa W16407,ALZ12948.1, ,  ,invalid,1,
 BOP93_21145,PL1,, ,Pseudomonas orientalis F9,AUZ47991.1, ,  ,invalid,8,
 BPUM_3499,PL9,, ,Bacillus pumilus SAFR-032,ABV64147.1,A8FIT0,  ,invalid,2,
 VAB18032_12350,PL1,, ,Verrucosispora maris AB-18-032,AEB43584.1, ,  ,invalid,,
 DF208_04410,PL22,, ,Enterobacter hormaechei subsp. xiangfangensis OSUVMCKPC4-2,AXL98458.1, ,  ,invalid,1,
 AJAP_18195,PL31,, ,Amycolatopsis japonica MG417-CF17,AIG76507.1, ,  ,invalid,,
 SZO_06680,PL8,, ,Streptococcus equi subsp. zooepidemicus H70,CAW98747.1, ,  ,invalid,1,
 C9I28_09730,PL15,, ,Massilia armeniaca ZMN-3,AVR95980.1, ,  ,invalid,,
 pectate lyase 2 (Pel2;HsPel2),PL3,, ,Heterodera glycines,AAM74954.1,Q8MUK4,  ,invalid,3,
 A8F97_09890,PL1,, ,Pectobacterium parmentieri RNS08.42.1A,AOR59222.1, ,  ,invalid,8,
 AYO71_28145,PL7,, ,Pseudomonas koreensis D26,AMT91241.1, ,  ,invalid,1,
 BS21228_09655,PL9,, ,Bacillus subtilis ATCC 21228,AVL04643.1, ,  ,invalid,2,
 allergen (Amb a 1.1;Amb a I.1;Amba1),PL1,, ,Ambrosia artemisiifolia,AAA32665.1,P27759,  ,invalid,1,
 ORF (fragment) ,PL7,, ,uncultured bacterium,BBA30905.1, ,  ,invalid,,
 CA210_14000,PL22,, ,Raoultella ornithinolytica Ro24724,ASI59289.1, ,  ,invalid,1,
 DZR90_04115,PL8,, ,Streptococcus pyogenes MGAS28278,QBB41632.1, ,  ,invalid,1,
 FZ025_11785,PL3,, ,Xanthomonas hyacinthi CFBP 1156,QGY77280.1, ,  ,invalid,,
 PCC21_003180,PL38,, ,Pectobacterium carotovorum subsp. carotovorum PCC21,AFR01721.1, ,  ,invalid,,
 SAMEA2162916_00348,PL12,, ,Streptococcus pneumoniae 2245STDY5562600,VFH54679.1, ,  ,invalid,1,
 RmaAA338_12350,PL39,, ,Rhodothermus marinus AA3-38,BBM72370.1, ,  ,invalid,,
 EFD73_11865,PL8,, ,Staphylococcus aureus P1D9C1,QGV50432.1, ,  ,invalid,1,
 DS421_1g16250,PL1,, ,Arachis hypogaea,QHO49698.1, ,  ,invalid,1,
 A4U42_13490,PL4,, ,Dickeya solani IPO 2222,ANE76256.1, ,  ,invalid,4,
 WS02814_J04,PL1,, ,Picea sitchensis,ABR17766.1,B8LQ36,  ,invalid,1,
 M271_36890,PL9,, ,Streptomyces rapamycinicus NRRL 5491,AGP58779.1, ,  ,invalid,3,
 YQ19_09165 (AlgL),PL5,, ,Pseudomonas aeruginosa Carb01 63,AKE68364.1, ,  ,invalid,1,
 A5M85_05245,PL31,, ,Cellulophaga lytica DAU203,APU09708.1, ,  ,invalid,,
 ABA10_10165,PL1,, ,Bacillus subtilis UD1022,AKI94322.1, ,  ,invalid,8,
 DPADHS01_22110,PL7,, ,Pseudomonas aeruginosa DHS01,AMA38653.1, ,  ,invalid,1,
 C9I70_28575,PL7,, ,Pseudomonas aeruginosa PA-VAP-3,QBL26413.1, ,  ,invalid,1,
 FsymDg_0652,PL14,, ,Frankia symbiont of Datisca glomerata 4085684,AEH08177.1, ,  ,invalid,3,
 C1A40_17060,PL1,, ,Tamlana sp. UJ94,AUS07047.1, ,  ,invalid,2,
 F2X79_09725,PL8,, ,Staphylococcus aureus GHA5,QER21178.1, ,  ,invalid,1,
 Caci_7491,PL7,, ,Catenulispora acidiphila DSM 44928,ACU76316.1,C7QB25,  ,invalid,4,
 roselon_01188,PL38,, ,Roseibacterium elongatum DSM 19469 DFL-43,AHM03579.1, ,  ,invalid,,
 pectate lyase (PelN),PL1,,4.2.2.2,Paenibacillus sp. 0602,AGM38211.1, ,5GT5[A,B] ,invalid,,
 BatF92_12450,PL13,, ,Bacteroides thetaiotaomicron F9-2,BCA49303.1, ,  ,invalid,,
 C1O50_04445,PL38,, ,Akkermansia muciniphila EB-AMDK-15,QAA52504.1, ,  ,invalid,,
 exotype alginate lyase (Atu3025),PL15,,4.2.2.26,Agrobacterium fabrum str. C58,AAL43841.1,A9CEJ9A9CEJ9,3A0O[A,B]3AFL[A] ,invalid,1,
 BGK71_12695,PL12,, ,Lactobacillus rhamnosus LR5,ASX18218.1, ,  ,invalid,1,
 FJQ89_25115,PL12,, ,Janthinobacterium sp. SNU WT3,QDG74326.1, ,  ,invalid,,
 BLASA_0382,PL31,, ,Blastococcus saxobsidens DD2,CCG01357.1, ,  ,invalid,,
 BSU6051_18650 (PelB),PL1,, ,Bacillus subtilis subsp. subtilis 6051-HGW,AGG61241.1, ,  ,invalid,8,
 ORF (fragment) ,PL7,, ,uncultured bacterium,BBA30880.1, ,  ,invalid,5,
 GIY83_04605 (PelA),PL10,, ,Flavobacterium sp. SLB01,QGK73367.1, ,  ,invalid,1,
 A214_17130,PL7,, ,Pseudomonas aeruginosa SJTD-1,ANI10128.1, ,  ,invalid,1,
 Mal4_33170 (CslB),PL6,, ,Planctomycetes bacterium Mal4,QDU38985.1, ,  ,invalid,1,
 DZA65_02282 (PelW),PL2,, ,Dickeya dianthicola ME23,AYC19169.1, ,  ,invalid,2,
 FBF58_04240,PL22,, ,Klebsiella pneumoniae C2974,QHU38103.1, ,  ,invalid,1,
 ELQ87_18775,PL1,, ,Streptomyces griseoviridis F1-27,AZS86090.1, ,  ,invalid,6,
 pectate lyase D, partial (PelD) (fragment) ,PL3,, ,Fusarium oxysporum RBG5806,ALI89074.1, ,  ,invalid,2,
 DZ894_21230,PL7,, ,Pseudomonas aeruginosa PABL012,AXR30114.1, ,  ,invalid,1,
 ORF (fragment) ,PL7,, ,uncultured bacterium,BBA30862.1, ,  ,invalid,5,
 SOCE26_038260,PL11,, ,Sorangium cellulosum So ce26,AUX42395.1, ,  ,invalid,1,
 C2U46_29150,PL38,, ,Klebsiella oxytoca KONIH5,AUW01902.1, ,  ,invalid,,
 alginate lyase (AlgL),PL5,,4.2.2.3,Pseudomonas syringae pv. syringae FF5,AAF32371.1,Q9L7P2,  ,invalid,1,characterized
 EI427_11105,PL17,, ,Flammeovirga pectinis L12M1,AZQ62760.1, ,  ,invalid,2,
 AXE80_11225,PL17,, ,Wenyingzhuangia fucanilytica CZ1127,ANW96815.1, ,  ,invalid,2,
 KPK_0846 (OgL),PL22,, ,Klebsiella pneumoniae 342,ACI10889.1,B5XUL9,  ,invalid,1,
 HKU488_00433 (HepC),PL12,, ,Streptococcus pyogenes HKU488,AKP81368.1, ,  ,invalid,1,
 DR864_19975 (PelA),PL10,, ,Runella sp. HYN0085,AXE21639.1, ,  ,invalid,1,
 AXA58_16855,PL22,, ,Klebsiella pneumoniae S12,AXO56254.1, ,  ,invalid,1,
 EQH88_04275,PL11,, ,Bacillus subtilis SRCM103862,QAR95873.1, ,  ,invalid,1,
 oligoalginate lyase (AlgL),PL17,,4.2.2.26,Sphingomonas sp. MJ-3,AEM45874.1, ,  ,invalid,2,
 E0L14_07985,PL12,, ,Bacteroides fragilis CCUG4856T,QCT77341.1, ,  ,invalid,,
 Adeh_2473,PL12,, ,Anaeromyxobacter dehalogenans 2CP-C,ABC82243.1,Q2IKR1,  ,invalid,3,
 pectate lyase D, partial (PelD) (fragment) ,PL3,, ,Fusarium oxysporum RBG5885,ALI89033.1, ,  ,invalid,2,
 LCA12A_0353,PL12,, ,Lactobacillus casei 12A,EKP96219.1, ,  ,invalid,1,
 BB2000_2203,PL8,, ,Proteus mirabilis BB2000,AGS60668.1, ,  ,invalid,2,
 CP982_37460,PL8,, ,Streptomyces spectabilis ATCC 27465,QEV63684.1, ,  ,invalid,,
 AL520_10220,PL5,, ,Achromobacter xylosoxidans FDAARGOS_162,AVC42640.1, ,  ,invalid,,
 Pla175_18120 (AlyA),PL7,, ,Planctomycetes bacterium Pla175,QDU88434.1, ,  ,invalid,3,
 R70723_23405,PL33,, ,Paenibacillus sp. FSL R7-0273,AIQ48533.1, ,  ,invalid,2,
 ORF (fragment) ,PL17,, ,uncultured bacterium,BAR73165.1, ,  ,invalid,,
 EHC63_05145,PL22,, ,Klebsiella pneumoniae L482,QDF84086.1, ,  ,invalid,1,
 Kfla_1504,PL7,, ,Kribbella flavida DSM 17836,ADB30602.1,D2PLH3,  ,invalid,3,
 SLIV_05715,PL11,, ,Streptomyces lividans TK24,AIJ12158.1, ,  ,invalid,1,
 FLK61_04410,PL11,, ,Bacillus sp. M4U3P1,QDK92980.1, ,  ,invalid,1,
 BSR08_00330,PL1,, ,Bacillus subtilis KH2,API41073.1, ,  ,invalid,6,
 BTO17_11380,PL10,, ,Polaribacter reichenbachii KCTC 23969,AUC19261.1, ,  ,invalid,1,
 C4K00_5219,PL7,, ,Pseudomonas synxantha R2-4-08W,AZE75400.1, ,  ,invalid,1,
 PSEBR_a5261,PL7,, ,Pseudomonas brassicacearum subsp. brassicacearum NFM421,AEA71751.1, ,  ,invalid,1,
 EA459_01665,PL12,, ,Streptococcus dysgalactiae subsp. dysgalactiae DB49998-05,QGG97467.1, ,  ,invalid,1,
 LPB03_04395,PL10,, ,Polaribacter vadi LPB0003,AOW18999.1, ,  ,invalid,1,
 DDE73_27650,PL9,, ,Bacillus thuringiensis BT62,QFQ28483.1, ,  ,invalid,2,
 NCTC13529_03137,PL7,, ,Chryseobacterium nakagawai NCTC13529,VEH21047.1, ,  ,invalid,,
 D3H65_19195,PL6,, ,Paraflavitalea soli 5GH32-13,AXY75977.1, ,  ,invalid,,
 Clocel_1010,PL11,, ,Clostridium cellulovorans 743B,ADL50774.1,D9STT6,  ,invalid,1,
 EL88_16960,PL22,, ,Bacteroides dorei isolate HS1_L1_B_010,AII64738.1, ,  ,invalid,,
 CC3152,PL1,, ,Caulobacter vibrioides CB15,AAK25114.1,Q9A3Q0,  ,invalid,2,
 F1325_14000,PL8,, ,Proteus columbae T60,QHN11503.1, ,  ,invalid,2,
 CP966_30045,PL11,, ,Streptomyces galilaeus ATCC 14969,QEU69046.1, ,  ,invalid,1,
 C5E17_20460,PL1,, ,Pectobacterium parmentieri IFB5408,AYH38223.1, ,  ,invalid,3,
 EJP617_17130 (HrpW),PL3,, ,Erwinia sp. Ejp617,ADP11394.1,E3DFP2,  ,invalid,1,
 Niako_3608,PL1,, ,Niastella koreensis GR20-10,AEV99908.1, ,  ,invalid,2,
 At3g01270,PL1,, ,Arabidopsis thaliana,AAF03499.1,Q08A70Q9SRH4,  ,invalid,1,
 ETA15_04450,PL11,, ,Bacillus subtilis SRCM103581,QAW07440.1, ,  ,invalid,1,
 SOCE26_041080,PL1,, ,Sorangium cellulosum So ce26,AUX42675.1, ,  ,invalid,,
 E2K93_08620,PL7,, ,Thalassotalea sp. HSM 43,QBY06168.1, ,  ,invalid,5,
 EJP79_10170,PL17,, ,Rahnella aquatilis KM25,AZP42180.1, ,  ,invalid,2,
 ORF (fragment) ,PL7,, ,uncultured bacterium,BBA30925.1, ,  ,invalid,5,
 AXJ76_19165,PL22,, ,Enterobacter cloacae 174,AVU52067.1, ,  ,invalid,1,
 U712_03560,PL11,, ,Bacillus subtilis PY79,AHA76661.1, ,  ,invalid,1,
 FKZ68_12555,PL13,, ,Bacteroides xylanisolvens H207,QDH57606.1, ,  ,invalid,,
 pectin lyase (pnl-zj5a),PL1,,4.2.2.10,Aspergillus niger ZJ5,AIX03726.1, ,  ,invalid,4,
 AOX55_00005687 (fragment) ,PL1,, ,Sinorhizobium fredii CCBAU 25509,AWM28463.1, ,  ,invalid,,
 HAS68_04770,PL12,, ,Streptococcus suis 05HAS68,AHF59040.1, ,  ,invalid,1,
 CO540_07090,PL9,, ,Micromonospora sp. WMMA2032,ATO17703.1, ,  ,invalid,1,
 Hoch_1714,PL14,, ,Haliangium ochraceum DSM 14365,ACY14264.1,D0LX17,  ,invalid,3,
 NCTC13710_02648,PL8,, ,Lactobacillus rhamnosus NCTC13710,VEF30718.1, ,  ,invalid,,
 D0Y57_15600,PL7,, ,Pseudomonas aeruginosa WPB099,AXS94426.1, ,  ,invalid,1,
 EYQ98_19665,PL3,, ,Bacillus licheniformis MCC 2514,QBR21765.1, ,  ,invalid,1,
 FOB77_08675,PL8,, ,Streptococcus agalactiae FDAARGOS_669,QET35740.1, ,  ,invalid,1,
 BvMPK_2075,PL27,, ,Bacteroides vulgatus mpk,ALK84676.1, ,  ,invalid,,
 A6747_08810,PL7,, ,Pseudomonas aeruginosa M8A4,ARN40161.1, ,  ,invalid,1,
 CSTERLE_02790,PL11,, ,Thermoclostridium stercorarium subsp. leptospartum DSM 9219,ANX00593.1, ,  ,invalid,1,
 TU94_06350,PL26,, ,Streptomyces cyaneogriseus subsp. noncyanogenus NMWT 1,AJP01148.1, ,  ,invalid,,
 ET471_09650,PL33,, ,Xylanimicrobium sp. FW10M-9,QAY71819.1, ,  ,invalid,1,
 SNOUR_37240,PL12,, ,Streptomyces noursei ATCC 11455,ANZ20676.1, ,  ,invalid,3,
 SPRI_5080,PL16,, ,Streptomyces pristinaespiralis HCCB 10218,ALC23386.1, ,  ,invalid,,
 BB344_12665,PL9,, ,Escherichia coli UPEC 26-1,ANV94557.1, ,  ,invalid,1,
 EP13_18275,PL1,, ,Alteromonas australica H 17,AIG00468.1, ,  ,invalid,5,
 D9N00_24330,PL1,, ,Pseudomonas syringae pv. actinidiae P220,AYL17270.1, ,  ,invalid,4,
 CRN74_05780,PL1,, ,Yersinia frederiksenii FDAARGOS_417,ATM85622.1, ,  ,invalid,6,
 GTHT12_01421 (PeL),PL1,, ,Geobacillus thermodenitrificans T12,ARP42958.1, ,  ,invalid,6,
 hyaluronidase (Hyl),PL8,, ,Streptococcus equi subsp. zooepidemicus,ACT33447.1,C7E667,  ,invalid,1,
 PAGA_a1393,PL6,, ,Pseudoalteromonas agarivorans DSM 14585,ATC81808.1, ,  ,invalid,3,
 SaSA333_1604,PL12,, ,Streptococcus agalactiae SA333,AUP30426.1, ,  ,invalid,1,
 pectate lyase D, partial (PelD) (fragment) ,PL3,, ,Fusarium oxysporum RBG6310,ALI89029.1, ,  ,invalid,2,
 pectate lyase 17, partial (Pl17) (fragment) ,PL3,, ,Aspergillus terreus MTCC 2580,AKF42768.1, ,  ,invalid,2,
 Enr13x_75380 (CslB),PL6,, ,Planctomycetes bacterium Enr13,QDV47627.1, ,  ,invalid,1,
 CEK26_004941,PL1,, ,Fusarium fujikuroi Augusto2,QGI91872.1, ,  ,invalid,7,
 NCTC9752_02140,PL8,, ,Staphylococcus aureus NCTC9752,SQE67270.1, ,  ,invalid,1,
 BAY22_07465,PL2,, ,Yersinia pestis Cadman,ANW13823.1, ,  ,invalid,2,
 BXY_35320,PL33,, ,Bacteroides xylanisolvens XB1A,CBK68523.1, ,  ,invalid,1,
 DS731_21085,PL1,, ,Alteromonas sp. RKMC-009,AYA66297.1, ,  ,invalid,5,
 Z042_00105,PL1,, ,Chania multitudinisentens RB-25,AHG18226.1, ,  ,invalid,6,
 C5E17_12650,PL2,, ,Pectobacterium parmentieri IFB5408,AYH36799.1, ,  ,invalid,1,
 EWH46_11090,PL9,, ,Sphaerotilus natans subsp. sulfidivorans D-507,QEN01268.1, ,  ,invalid,4,
 pectate lyase D, partial (PelD) (fragment) ,PL3,, ,Fusarium oxysporum RBG5809,ALI89085.1, ,  ,invalid,2,
